advertisement,city,community,distance,houseInfo,link,price,time,title
0,闲林,余杭闲林爵士风情花园,4.459,--194.34㎡南西北8室2厅3卫,/zufang/HZ2818757690002505728.html,4600,2天前维护,整租·爵士风情花园 8室2厅 跃层 南/西北
1,闲林,美好生活公寓,7.643,45.00-48.00㎡3间在租1室1厅1卫,/apartment/38361.html,,2天前维护,独栋·美好生活公寓 绿城闲林店 店长首推网红一居 1室1厅
0,,余杭未来科技城万科溪望,,--140.00㎡南4室2厅2卫,,,,整租·万科溪望 4室2厅 南
1,未来科技城,方隅公寓,173.751,130.00㎡2间在租2室2厅2卫,/apartment/26260.html,,2天前维护,独栋·方隅公寓 杭州方隅公寓 两卧两卫朝南加浴缸 2室2厅
0,,余杭闲林东海·闲湖城,,--131.36㎡南3室2厅2卫,,,,整租·东海·闲湖城 3室2厅 南
0,,余杭闲林闲林山水紫薇苑,,--86.00㎡南3室2厅1卫,,,,整租·闲林山水紫薇苑 3室2厅 南
0,,余杭闲林绿城桃源小镇,,--89.00㎡南3室2厅1卫,,,,整租·绿城桃源小镇 3室2厅 南
0,,余杭闲林华元玉榕庄,,--284.90㎡南5室2厅3卫,,,,整租·华元玉榕庄 5室2厅 南
0,,余杭闲林新明半岛,,--143.00㎡南3室2厅2卫,,,,整租·新明半岛 3室2厅 南
0,,余杭未来科技城华夏四季,,--127.85㎡南北4室2厅2卫,,,,整租·华夏四季 4室2厅 南/北
1,未来科技城,方隅公寓,173.751,43.00㎡1间在租1室0厅1卫,/apartment/26260.html,,2天前维护,独栋·方隅公寓 杭州方隅公寓 阳光房带地暖小一室 开间
0,,余杭闲林竹海水韵,,--89.00㎡南3室1厅1卫,,,,整租·竹海水韵 3室1厅 南
1,闲林,美好生活公寓,7.643,76.00㎡3间在租2室2厅1卫,/apartment/38361.html,,2天前维护,独栋·美好生活公寓 绿城闲林店 亲昵室友两居室 2室2厅
0,,余杭未来科技城飞鸟客,,--45.18㎡西北3室2厅2卫,,,,整租·飞鸟客 3室2厅 西北
0,,余杭未来科技城富力西溪悦居溪区,,--192.00㎡西南4室2厅2卫,,,,整租·富力西溪悦居溪区 4室2厅 西南
0,,余杭未来科技城大华海派风范,,--89.31㎡东南4室2厅2卫,,,,整租·大华海派风范 4室2厅 东南
0,,余杭未来科技城合景映月台,,--120.27㎡南北4室2厅2卫,,,,整租·合景映月台 4室2厅 南/北
0,,余杭闲林爵士风情花园,,--192.57㎡东南6室2厅4卫,,,,整租·爵士风情花园 6室2厅 跃层 东南
1,闲林,美好生活公寓,7.643,40.00㎡3间在租1室1厅1卫,/apartment/38361.html,,2天前维护,独栋·美好生活公寓 绿城闲林店 绿野之界（一居室） 1室1厅
1,未来科技城,方隅公寓,173.751,38.00㎡1间在租1室0厅1卫,/apartment/26260.html,,3天前维护,独栋·方隅公寓 杭州方隅公寓 可短租边套安静小一室 开间
0,,余杭闲林绿城桃源小镇,,--333.50㎡东南西南5室2厅5卫,,,,整租·绿城桃源小镇 5室2厅 东南/西南
0,,余杭未来科技城创客空间大厦,,--99.22㎡南北4室2厅2卫,,,,整租·创客空间大厦 4室2厅 南/北
1,未来科技城,方隅公寓,173.751,43.00㎡4间在租1室0厅1卫,/apartment/26260.html,,2天前维护,独栋·方隅公寓 杭州方隅公寓 全球阿里旁一室户型 开间
0,,余杭未来科技城融创金成英特学府,,--89.40㎡南3室2厅2卫,,,,整租·融创金成英特学府 3室2厅 南
0,,余杭未来科技城新湖果岭,,--138.00㎡南北4室2厅2卫,,,,整租·新湖果岭 4室2厅 复式 南/北
0,,余杭未来科技城欧美金融城,,--46.56㎡北2室1厅1卫,,,,整租·欧美金融城 2室1厅 北
0,,余杭未来科技城碧景园,,--120.00㎡南3室2厅2卫,,,,整租·碧景园 3室2厅 南
0,未来科技城,余杭未来科技城欧美金融城,1.901,--98.49㎡南北4室2厅2卫,/zufang/HZ2753632743488765952.html,8300,1天前维护,整租·欧美金融城 4室2厅 南/北
0,,余杭未来科技城西溪八方城,,--52.08㎡北2室1厅2卫,,,,整租·西溪八方城 2室1厅 跃层 北
0,未来科技城,余杭未来科技城欧美金融城,1.901,精选--45.00㎡南1室1厅1卫,/zufang/HZ2812354565163458560.html,4600,2天前维护,整租·欧美金融城 1室1厅 南
0,,余杭闲林绿城桃源小镇,,--90.00㎡南2室2厅1卫,,,,整租·绿城桃源小镇 2室2厅 南
0,未来科技城,余杭未来科技城富力西溪悦墅,4.166,--140.00㎡南北4室2厅3卫,/zufang/HZ2755609452039110656.html,12800,1天前维护,整租·富力西溪悦墅 4室2厅 南/北
0,,余杭闲林融创金成江南府,,--149.00㎡南4室2厅3卫,,,,整租·融创金成江南府 4室2厅 南
0,,余杭闲林雅居乐国际花园,,--127.00㎡西南4室2厅2卫,,,,整租·雅居乐国际花园 4室2厅 西南
0,闲林,余杭闲林竹海水韵,4.235,--87.42㎡南北3室2厅1卫,/zufang/HZ2825155729751810048.html,3000,1天前维护,整租·竹海水韵 3室2厅 南/北
0,未来科技城,余杭未来科技城创客空间大厦,2.312,精选--45.00㎡西2室1厅1卫,/zufang/HZ2814492130095923200.html,4200,2天前维护,整租·创客空间大厦 2室1厅 LOFT 西
0,,余杭闲林融创金成未来海,,--139.00㎡南4室2厅2卫,,,,整租·融创金成未来海 4室2厅 南
0,,余杭闲林金泽公寓,,--108.66㎡南4室2厅1卫,,,,整租·金泽公寓 4室2厅 南
0,,余杭闲林盛世嘉园,,--150.00㎡南4室2厅2卫,,,,整租·盛世嘉园 4室2厅 南
0,,余杭闲林新西湖小镇,,--30.00㎡南2室1厅1卫,,,,合租·新西湖小镇 2居室 南卧
0,未来科技城,余杭未来科技城复泰雅宸华庭,3.227,--103.00㎡南3室2厅2卫,/zufang/HZ2755108209064165376.html,2200,1天前维护,整租·复泰雅宸华庭 3室2厅 南
0,,余杭闲林新西湖小镇,,--100.00㎡南3室2厅2卫,,,,整租·新西湖小镇 3室2厅 南
0,,余杭闲林融创金成江南府,,--148.93㎡南5室2厅3卫,,,,整租·融创金成江南府 5室2厅 南
0,,余杭闲林绿城桃源小镇,,--255.68㎡南5室2厅4卫,,,,整租·绿城桃源小镇 5室2厅 南
0,,余杭闲林竹海水韵春风里,,--88.00㎡南3室2厅1卫,,,,整租·竹海水韵春风里 3室2厅 南
0,,余杭闲林新都公寓,,--131.00㎡南3室2厅2卫,,,,整租·新都公寓 3室2厅 南
0,,余杭闲林融创金成未来海,,--129.00㎡南北4室2厅2卫,,,,整租·融创金成未来海 4室2厅 南/北
0,,余杭闲林融创金成未来海,,--95.00㎡南西南北3室2厅2卫,,,,整租·融创金成未来海 3室2厅 南/西南/北
0,,余杭闲林华元玉榕庄,,--283.99㎡南4室2厅4卫,,,,整租·华元玉榕庄 4室2厅 跃层 南
0,,余杭未来科技城中南樾府,,--89.00㎡南3室2厅2卫,,,,整租·中南樾府 3室2厅 南
0,闲林,余杭闲林绿城桃源小镇品霞苑,6.25,--89.00㎡西南3室1厅1卫,/zufang/HZ2732599710103126016.html,2400,4天前维护,整租·绿城桃源小镇品霞苑 3室1厅 西南
0,未来科技城,余杭未来科技城中新大厦,2.345,--86.75㎡西1室1厅1卫,/zufang/HZ2616610819990880256.html,6800,5天前维护,整租·中新大厦 1室1厅 西
0,,余杭闲林绿城桃源小镇品霞苑,,--124.44㎡南北4室2厅2卫,,,,整租·绿城桃源小镇品霞苑 4室2厅 南/北
0,,余杭闲林竹海水韵,,--149.00㎡东南4室2厅2卫,,,,整租·竹海水韵 4室2厅 东南
0,,余杭闲林融创金成江南府,,--146.18㎡南北4室2厅2卫,,,,整租·融创金成江南府 4室2厅 南/北
0,,余杭闲林融创金成未来海,,--88.38㎡南北3室2厅2卫,,,,整租·融创金成未来海 3室2厅 南/北
0,,余杭闲林华元玉榕庄,,--341.00㎡南6室2厅5卫,,,,整租·华元玉榕庄 6室2厅 南
0,,余杭未来科技城苕溪南湖人家,,--80.14㎡南3室1厅1卫,,,,整租·苕溪南湖人家 3室1厅 南
0,,余杭闲林盛世嘉园,,--264.24㎡南5室2厅3卫,,,,整租·盛世嘉园 5室2厅 复式 南
0,,余杭闲林南湖大厦,,--84.90㎡南1室1厅1卫,,,,整租·南湖大厦 1室1厅 南
0,,余杭闲林德信早安,,--89.00㎡南3室2厅1卫,,,,整租·德信早安 3室2厅 南
0,,余杭闲林十里风荷,,--102.00㎡南3室2厅2卫,,,,整租·十里风荷 3室2厅 南
0,,余杭闲林闲林山水丹枫苑,,--204.11㎡南4室2厅3卫,,,,整租·闲林山水丹枫苑 4室2厅 跃层 南
0,,余杭未来科技城湖山帝景湾,,--131.00㎡南4室2厅2卫,,,,整租·湖山帝景湾 4室2厅 南
0,,余杭闲林华门清水湾,,--326.10㎡南5室2厅3卫,,,,整租·华门清水湾 5室2厅 南
0,,余杭闲林赞成乐山红叶,,--240.00㎡南4室2厅3卫,,,,整租·赞成乐山红叶 4室2厅 南
0,,余杭闲林绿城桃源小镇,,--402.29㎡南5室3厅4卫,,,,整租·绿城桃源小镇 5室3厅 南
0,,余杭未来科技城西溪美岸,,--44.86㎡南北1室1厅1卫,,,,整租·西溪美岸 1室1厅 南/北
1,未来科技城,未莱公寓,1125.202,35.00㎡2间在租2室2厅2卫,/apartment/41408.html,,4天前维护,独栋·未莱公寓 中南未来里店 双钥匙 2室2厅
0,,余杭闲林怡景花城,,--230.00㎡南5室2厅3卫,,,,整租·怡景花城 5室2厅 跃层 南
0,,余杭闲林赞成乐山红叶,,--233.21㎡南北5室3厅3卫,,,,整租·赞成乐山红叶 5室3厅 南/北
0,闲林,余杭闲林南湖大厦,5.986,--46.02㎡西南1室0厅1卫,/zufang/HZ2505158571999117312.html,2500,6天前维护,整租·南湖大厦 1室0厅 西南
0,,余杭未来科技城中新大厦,,--45.00㎡北1室1厅1卫,,,,整租·中新大厦 1室1厅 北
0,,余杭未来科技城仓溢绿苑,,--162.13㎡南4室2厅2卫,,,,整租·仓溢绿苑 4室2厅 南
0,,余杭未来科技城新湖菲林山,,--82.00㎡南2室2厅1卫,,,,整租·新湖菲林山 2室2厅 南
0,闲林,余杭闲林爵士风情花园,4.459,--223.71㎡南5室2厅3卫,/zufang/HZ2500617429005377536.html,5000,1天前维护,整租·爵士风情花园 5室2厅 南
0,,余杭未来科技城合景天峻,,--109.00㎡南3室2厅2卫,,,,整租·合景天峻 3室2厅 南
0,未来科技城,余杭未来科技城湖山帝景湾,5.41,--130.91㎡东南3室2厅2卫,/zufang/HZ2822512926760370176.html,5000,2天前维护,整租·湖山帝景湾 3室2厅 东南
0,,余杭闲林润和西溪郡,,--228.00㎡南6室2厅4卫,,,,整租·润和西溪郡 6室2厅 跃层 南
1,未来科技城,未莱公寓,1125.202,42.00㎡2间在租2室1厅1卫,/apartment/41407.html,,3天前维护,独栋·未莱公寓 欧美金融城店 loft 2室1厅
0,,余杭闲林竹海水韵,,--300.00㎡南北5室2厅3卫,,,,整租·竹海水韵 5室2厅 南/北
0,,余杭闲林绿城桃源小镇品霞苑,,--89.00㎡东南3室2厅1卫,,,,整租·绿城桃源小镇品霞苑 3室2厅 东南
0,,余杭闲林雅居乐国际花园,,--127.00㎡南4室2厅2卫,,,,整租·雅居乐国际花园 4室2厅 南
0,,余杭未来科技城海创绿谷,,--30.33㎡南1室1厅1卫,,,,整租·海创绿谷 1室1厅 南
1,未来科技城,未莱公寓,1125.202,45.00㎡1间在租1室1厅1卫,/apartment/41407.html,,3天前维护,独栋·未莱公寓 欧美金融城店 平层 1室1厅
0,,余杭未来科技城万通时尚公馆,,--89.00㎡南3室1厅1卫,,,,整租·万通时尚公馆 3室1厅 南
0,,余杭未来科技城湖山帝景湾南苑,,--116.00㎡南3室2厅2卫,,,,整租·湖山帝景湾南苑 3室2厅 南
0,,余杭未来科技城蓝城鼎胜蔚蓝中心,,--45.68㎡东1室1厅2卫,,,,整租·蓝城鼎胜蔚蓝中心 1室1厅 东
0,,余杭未来科技城西溪美岸,,--41.88㎡南3室1厅2卫,,,,整租·西溪美岸 3室1厅 南
0,,余杭闲林新明半岛,,--160.00㎡南北4室2厅3卫,,,,整租·新明半岛 4室2厅 南/北
0,,余杭闲林新南湖绿苑,,--150.00㎡南3室2厅2卫,,,,整租·新南湖绿苑 3室2厅 南
0,,余杭未来科技城紫竹人家,,--119.80㎡南3室2厅2卫,,,,整租·紫竹人家 3室2厅 南
0,未来科技城,余杭未来科技城西溪蓝海,2.159,--38.00㎡西1室1厅1卫,/zufang/HZ2821696400880828416.html,3500,3天前维护,整租·西溪蓝海 1室1厅 西
0,,余杭闲林闲林山水木兰苑,,--125.00㎡南3室2厅2卫,,,,整租·闲林山水木兰苑 3室2厅 南
0,未来科技城,余杭未来科技城欧美金融城,1.901,精选--45.00㎡西2室2厅1卫,/zufang/HZ2822398637194354688.html,5000,7天前维护,整租·欧美金融城 2室2厅 LOFT 西
0,,余杭未来科技城杉杉恒和依山郡,,--89.93㎡南2室2厅1卫,,,,整租·杉杉恒和依山郡 2室2厅 南
0,未来科技城,余杭未来科技城西溪蓝海,2.159,精选--21.00㎡南4室3厅4卫,/zufang/HZ2791769946210697216.html,1688,1个月前维护,合租·西溪蓝海 4居室 南卧
0,,余杭未来科技城创客空间大厦,,--45.00㎡东2室1厅1卫,,,,整租·创客空间大厦 2室1厅 东
0,,余杭未来科技城中园花苑,,--99.00㎡南3室2厅2卫,,,,整租·中园花苑 3室2厅 复式 南
0,未来科技城,余杭未来科技城欧美金融城,1.901,精选--29.00㎡南3室2厅3卫,/zufang/HZ2775119570779258880.html,3288,17天前维护,合租·欧美金融城 3居室 南卧
0,,余杭未来科技城融创金成英特学府,,--88.56㎡东南南3室2厅2卫,,,,整租·融创金成英特学府 3室2厅 东南/南
0,,余杭闲林绿城桃源小镇品霞苑,,--125.00㎡南4室2厅2卫,,,,整租·绿城桃源小镇品霞苑 4室2厅 南
0,,余杭闲林绿城桃源小镇,,--110.00㎡南西北2室2厅1卫,,,,整租·绿城桃源小镇 2室2厅 南/西/北
0,未来科技城,余杭未来科技城仓乐雅苑,3.227,精选--26.00㎡南3室3厅3卫,/zufang/HZ2724534723761414144.html,1680,1个月前维护,合租·仓乐雅苑 3居室 南卧
0,,余杭未来科技城阳光城未来悦MAX,,--89.00㎡南3室2厅2卫,,,,整租·阳光城未来悦MAX 3室2厅 南
0,未来科技城,余杭未来科技城西溪蓝海,2.159,精选--18.00㎡东南4室2厅4卫,/zufang/HZ2594110463181078528.html,1788,25天前维护,合租·西溪蓝海 4居室 东南卧
0,,余杭未来科技城西园·凤兴花园,,--134.09㎡南3室2厅2卫,,,,整租·西园·凤兴花园 3室2厅 南
0,,余杭未来科技城瑞城温莎郡,,--265.00㎡南4室2厅3卫,,,,整租·瑞城温莎郡 4室2厅 南
0,,余杭未来科技城青枫墅园三期,,--89.00㎡南3室2厅1卫,,,,整租·青枫墅园三期 3室2厅 南
0,,余杭闲林荆山翠谷,,--242.00㎡南5室2厅3卫,,,,整租·荆山翠谷 5室2厅 南
0,,余杭未来科技城中南未来里,,--30.00㎡北2室2厅2卫,,,,合租·中南未来里 2居室 北卧
0,,余杭未来科技城众安学君里,,--88.31㎡南北3室1厅1卫,,,,整租·众安学君里 3室1厅 南/北
0,,余杭闲林闲林山水紫薇苑,,--122.20㎡东南南3室2厅2卫,,,,整租·闲林山水紫薇苑 3室2厅 东南/南
0,,余杭未来科技城富力十号院,,--118.00㎡南北4室2厅2卫,,,,整租·富力十号院 4室2厅 南/北
0,,余杭闲林中惠家园,,--122.65㎡南5室3厅5卫,,,,整租·中惠家园 5室3厅 跃层 南
0,,余杭闲林岸上蓝山,,--124.00㎡南3室2厅2卫,,,,整租·岸上蓝山 3室2厅 南
0,,余杭闲林中港罗兰小镇,,--89.00㎡南3室1厅1卫,,,,整租·中港罗兰小镇 3室1厅 南
0,闲林,余杭闲林华元玉榕庄,3.085,--393.00㎡南北5室2厅5卫,/zufang/HZ2736013365225988096.html,8000,4天前维护,整租·华元玉榕庄 5室2厅 南/北
0,,余杭未来科技城华夏之心,,--43.73㎡西北1室1厅1卫,,,,整租·华夏之心 1室1厅 西北
0,,余杭未来科技城欣龙华府公寓,,--125.00㎡南5室2厅3卫,,,,整租·欣龙华府公寓 5室2厅 南
0,,余杭未来科技城富力天贸广场,,--100.60㎡南2室1厅1卫,,,,整租·富力天贸广场 2室1厅 南
0,,余杭闲林十里风荷,,--105.00㎡南5室1厅2卫,,,,整租·十里风荷 5室1厅 南
0,,余杭闲林白云深处,,--261.55㎡南5室3厅3卫,,,,整租·白云深处 5室3厅 南
0,,余杭闲林西溪庭院,,--168.00㎡西南5室2厅2卫,,,,整租·西溪庭院 5室2厅 西南
0,,余杭未来科技城奥克斯时代未来之城,,--116.85㎡南3室2厅2卫,,,,整租·奥克斯时代未来之城 3室2厅 南
0,,余杭未来科技城合景叠彩园,,--104.38㎡南3室2厅2卫,,,,整租·合景叠彩园 3室2厅 南
0,,余杭未来科技城融创金成英特学府,,--123.00㎡南4室2厅2卫,,,,整租·融创金成英特学府 4室2厅 南
0,,余杭闲林融创金成江南府,,--148.10㎡南5室2厅3卫,,,,融创金成江南府 5室2厅 南
