advertisement,city,community,distance,houseInfo,link,position,price,time,title,url
0,闲林,余杭闲林闲林山水紫薇苑,,--137.00㎡南3室2厅2卫,/zufang/HZ2772454367637274624.html,,,,整租·闲林山水紫薇苑 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
1,闲林,美好生活公寓,7.643,45.00㎡3间在租1室1厅1卫,/apartment/38361.html,"(30.213455822781352, 120.00500127356354)",,1天前维护,独栋·美好生活公寓 绿城闲林店 个性潮人一室一厅 1室1厅,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,未来科技城,余杭未来科技城北大资源未名府,5.74,精选--8.00㎡北4室1厅2卫,/zufang/HZ2827904259436593152.html,"(30.300370881721904, 120.0478610463945)",1530,今天维护,合租·北大资源未名府 4居室 北卧,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林佳兆业西溪璞园,,--124.45㎡南4室2厅2卫,/zufang/HZ2773759857046585344.html,,,,整租·佳兆业西溪璞园 4室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,闲林,余杭闲林竹海水韵,,--88.35㎡南3室2厅1卫,/zufang/HZ2815967643335933952.html,,,,整租·竹海水韵 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,闲林,余杭闲林绿城桃花源,,--129.00㎡南3室2厅2卫,/zufang/HZ2815935188071628800.html,,,,整租·绿城桃花源 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
1,闲林,美好生活公寓,7.643,96.00㎡3间在租3室2厅2卫,/apartment/38361.html,"(30.213455822781352, 120.00500127356354)",,1天前维护,独栋·美好生活公寓 绿城闲林店 智能家居大三房两厅 3室2厅,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,未来科技城,余杭未来科技城富力十号一期,3.722,精选--61.66㎡北1室1厅1卫,/zufang/HZ2796788985886941184.html,"(30.27750106535352, 120.03081866375085)",4490,今天维护,整租·富力十号一期 1室1厅 北,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林融创金成西溪海,,--308.43㎡南5室2厅4卫,/zufang/HZ2774578248074395648.html,,,,整租·融创金成西溪海 5室2厅 跃层 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
1,闲林,美好生活公寓,7.643,90.00㎡3间在租3室2厅2卫,/apartment/38361.html,"(30.213455822781352, 120.00500127356354)",,1天前维护,独栋·美好生活公寓 绿城闲林店 日系实木大三居 3室2厅,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,未来科技城,余杭未来科技城富力十号一期,3.722,精选--54.00㎡北1室2厅1卫,/zufang/HZ2827267599841640448.html,"(30.27750106535352, 120.03081866375085)",4490,今天维护,整租·富力十号一期 1室2厅 北,https://hz.lianjia.com/zufang/weilaikejicheng/pg1/
0,闲林,余杭闲林南湖大厦,,--44.00㎡南1室1厅1卫,/zufang/HZ2775221138090377216.html,,,,整租·南湖大厦 1室1厅 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,闲林,余杭闲林新明半岛,,--261.43㎡南5室2厅4卫,/zufang/HZ2775177618771673088.html,,,,整租·新明半岛 5室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,闲林,余杭闲林雅居乐国际花园,,--89.00㎡南北3室2厅2卫,/zufang/HZ2816616571831853056.html,,,,整租·雅居乐国际花园 3室2厅 南/北,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,闲林,余杭闲林新西湖小镇,,--90.00㎡南2室1厅1卫,/zufang/HZ2777339042214453248.html,,,,整租·新西湖小镇 2室1厅 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,闲林,余杭闲林竹海水韵,4.235,--60.00㎡南4室2厅2卫,/zufang/HZ2699997368509530112.html,"(30.24352799701941, 119.98671186321094)",2200,今天维护,合租·竹海水韵 4居室 南卧,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,闲林,余杭闲林绿城桃源小镇,,--256.58㎡南6室2厅3卫,/zufang/HZ2777580731340161024.html,,,,整租·绿城桃源小镇 6室2厅 跃层 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
1,未来科技城,方隅公寓,173.751,63.00㎡2间在租1室1厅1卫,/apartment/26260.html,"(31.26116388182826, 121.40897696867404)",,2天前维护,独栋·方隅公寓 杭州方隅公寓 应届生可月付朝南一居 1室1厅,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
0,闲林,余杭闲林融创金成江南府,,--127.80㎡南4室2厅2卫,/zufang/HZ2778129924974977024.html,,,,整租·融创金成江南府 4室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
1,未来科技城,方隅公寓,173.751,43.00㎡3间在租1室0厅1卫,/apartment/26260.html,"(31.26116388182826, 121.40897696867404)",,2天前维护,独栋·方隅公寓 杭州方隅公寓 全球阿里旁一室户型 开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
0,闲林,余杭闲林佳兆业西溪璞园,6.449,--125.00㎡西南3室2厅2卫,/zufang/HZ2809325756877389824.html,"(30.24151740602395, 120.04115178220157)",4000,4天前维护,整租·佳兆业西溪璞园 3室2厅 西南,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,未来科技城,余杭未来科技城合景映月台,,--120.00㎡南4室2厅2卫,/zufang/HZ2779963698700091392.html,,,,整租·合景映月台 4室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
1,未来科技城,方隅公寓,173.751,38.00㎡1间在租1室0厅1卫,/apartment/26260.html,"(31.26116388182826, 121.40897696867404)",,4天前维护,独栋·方隅公寓 杭州方隅公寓 可短租边套安静小一室 开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
0,闲林,余杭闲林竹海水韵,4.235,--78.00㎡南北3室2厅2卫,/zufang/HZ2810013416876679168.html,"(30.24352799701941, 119.98671186321094)",3200,1天前维护,整租·竹海水韵 3室2厅 南/北,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,未来科技城,余杭未来科技城合景映月台,,--89.42㎡南北3室2厅2卫,/zufang/HZ2781003191624400896.html,,,,整租·合景映月台 3室2厅 南/北,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
0,未来科技城,余杭未来科技城禹航路,,--89.00㎡南3室2厅1卫,/zufang/HZ2780448364007784448.html,,,,整租·禹航路 3室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
0,未来科技城,余杭未来科技城中新大厦,2.345,--86.75㎡西1室1厅1卫,/zufang/HZ2616610819990880256.html,"(30.281791344789273, 120.01672227402717)",6800,6天前维护,整租·中新大厦 1室1厅 西,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
0,闲林,余杭闲林新西湖小镇,,--88.00㎡南2室2厅1卫,/zufang/HZ2817207208184381440.html,,,,整租·新西湖小镇 2室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg2/
0,闲林,余杭闲林绿城桃源小镇,,--139.00㎡南4室2厅2卫,/zufang/HZ2672561956686405632.html,,,,整租·绿城桃源小镇 4室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,未来科技城,余杭未来科技城欧美金融城,,--42.51㎡南2室1厅1卫,/zufang/HZ2617196711462322176.html,,,,整租·欧美金融城 2室1厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
1,未来科技城,方隅公寓,173.751,130.00㎡2间在租2室2厅2卫,/apartment/26260.html,"(31.26116388182826, 121.40897696867404)",,2天前维护,独栋·方隅公寓 杭州方隅公寓 两卧两卫朝南加浴缸 2室2厅,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
0,闲林,余杭闲林竹海水韵,,--257.09㎡南4室2厅4卫,/zufang/HZ2673763673847644160.html,,,,整租·竹海水韵 4室2厅 跃层 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林融创金成未来海,3.296,--137.48㎡南4室2厅2卫,/zufang/HZ2579771089836589056.html,"(30.2516668117035, 119.99236480995467)",4900,5天前维护,整租·融创金成未来海 4室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,未来科技城,余杭未来科技城富力新线公园,4.444,--115.00㎡南4室1厅2卫,/zufang/HZ2781207835432984576.html,"(30.298642648288794, 120.03400755848072)",8000,今天维护,整租·富力新线公园 4室1厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
0,闲林,余杭闲林雅居乐国际花园,,--117.52㎡南3室2厅1卫,/zufang/HZ2578033421683269632.html,,,,整租·雅居乐国际花园 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林怡景花城,,--138.00㎡南3室2厅2卫,/zufang/HZ2582479621446434816.html,,,,整租·怡景花城 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林佳兆业西溪璞园,,--126.03㎡东4室2厅2卫,/zufang/HZ2573812436289191936.html,,,,整租·佳兆业西溪璞园 4室2厅 东,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林新西湖小镇,,--234.68㎡南5室2厅3卫,/zufang/HZ2586141178281852928.html,,,,整租·新西湖小镇 5室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林金岸提香,,--219.00㎡南4室2厅3卫,/zufang/HZ2585604108535218176.html,,,,整租·金岸提香 4室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林爵士风情花园,,--108.00㎡东3室2厅2卫,/zufang/HZ2575351936681787392.html,,,,整租·爵士风情花园 3室2厅 东,https://hz.lianjia.com/zufang/xianlin1/pg3/
1,未来科技城,方隅公寓,173.751,43.00㎡1间在租1室0厅1卫,/apartment/26260.html,"(31.26116388182826, 121.40897696867404)",,2天前维护,独栋·方隅公寓 杭州方隅公寓 阳光房带地暖小一室 开间,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
0,闲林,余杭闲林新西湖小镇,,--123.00㎡南3室2厅2卫,/zufang/HZ2584590556391022592.html,,,,整租·新西湖小镇 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林闲林山水木兰苑,,--200.24㎡南5室2厅3卫,/zufang/HZ2587599143048855552.html,,,,整租·闲林山水木兰苑 5室2厅 跃层 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林融创金成未来海,,--95.00㎡南3室1厅2卫,/zufang/HZ2592043815858872320.html,,,,整租·融创金成未来海 3室1厅 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林白云深处,,--235.75㎡南4室2厅3卫,/zufang/HZ2602856684661506048.html,,,,整租·白云深处 4室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林佳兆业西溪璞园,,--89.00㎡南3室2厅2卫,/zufang/HZ2595625351464370176.html,,,,整租·佳兆业西溪璞园 3室2厅 南,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,闲林,余杭闲林南湖大厦,,--46.00㎡南北1室1厅1卫,/zufang/HZ2613039300475879424.html,,,,整租·南湖大厦 1室1厅 南/北,https://hz.lianjia.com/zufang/xianlin1/pg3/
0,未来科技城,余杭未来科技城众安学君里,,--89.00㎡南3室2厅1卫,/zufang/HZ2625119812468080640.html,,,,整租·众安学君里 3室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
0,未来科技城,余杭未来科技城瑞城温莎郡,,--134.62㎡南4室2厅2卫,/zufang/HZ2765910969787097088.html,,,,整租·瑞城温莎郡 4室2厅 南,https://hz.lianjia.com/zufang/weilaikejicheng/pg2/
