line,station,residence,year,price/sqm,ttl price
地铁2号线,钱江世纪城站,4室2厅 | 129.16平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,创世邸    -  钱江世纪城 ,单价89037元/平米,1150万
地铁2号线,钱江世纪城站,3室2厅 | 96.09平米 | 北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价32782元/平米,315万
地铁2号线,钱江世纪城站,3室2厅 | 90.24平米 | 东 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价46100元/平米,416万
地铁2号线,钱江世纪城站,4室2厅 | 129.16平米 | 南 | 精装 | 32层  | 板楼,创世邸    -  钱江世纪城 ,单价96780元/平米,1250万
地铁2号线,钱江世纪城站,4室1厅 | 139.51平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,天璞御园    -  钱江世纪城 ,单价93184元/平米,1300万
地铁2号线,钱江世纪城站,3室2厅 | 89.05平米 | 南 | 精装 | 32层  | 板楼,创世邸    -  钱江世纪城 ,单价85346元/平米,760万
地铁2号线,钱江世纪城站,4室2厅 | 129.16平米 | 南 | 精装 | 32层  | 板楼,创世邸    -  钱江世纪城 ,单价99877元/平米,1290万
地铁2号线,钱江世纪城站,4室2厅 | 138.88平米 | 南 北 | 精装 | 32层  | 板楼,创世邸    -  钱江世纪城 ,单价97207元/平米,1350万
地铁2号线,钱江世纪城站,3室1厅 | 96.09平米 | 东 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价34135元/平米,328万
地铁2号线,钱江世纪城站,4室2厅 | 129.16平米 | 南 | 精装 | 32层  | 板楼,创世邸    -  钱江世纪城 ,单价99877元/平米,1290万
地铁2号线,钱江世纪城站,3室2厅 | 135.43平米 | 南 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价37658元/平米,510万
地铁2号线,钱江世纪城站,2室1厅 | 80.45平米 | 南 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价39777元/平米,320万
地铁2号线,钱江世纪城站,6室4厅 | 135.35平米 | 西北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价33986元/平米,460万
地铁2号线,钱江世纪城站,2室2厅 | 96.09平米 | 东北 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价36945元/平米,355万
地铁2号线,钱江世纪城站,3室2厅 | 135.35平米 | 北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价26968元/平米,365万
地铁2号线,钱江世纪城站,4室2厅 | 155.46平米 | 南 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价34093元/平米,530万
地铁2号线,钱江世纪城站,4室2厅 | 144.44平米 | 东北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价48464元/平米,700万
地铁2号线,钱江世纪城站,4室2厅 | 148.7平米 | 南 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价35844元/平米,533万
地铁2号线,钱江世纪城站,3室2厅 | 138.65平米 | 南 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价34620元/平米,480万
地铁2号线,钱江世纪城站,4室1厅 | 97.21平米 | 东北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价43206元/平米,420万
地铁2号线,钱江世纪城站,4室2厅 | 143.5平米 | 东南 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价34844元/平米,500万
地铁2号线,钱江世纪城站,2室1厅 | 89.2平米 | 北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价31391元/平米,280万
地铁2号线,钱江世纪城站,4室2厅 | 96.09平米 | 北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价31221元/平米,300万
地铁2号线,钱江世纪城站,3室2厅 | 134.56平米 | 北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价37010元/平米,498万
地铁2号线,钱江世纪城站,4室4厅 | 144.44平米 | 东北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价34271元/平米,495万
地铁2号线,钱江世纪城站,4室2厅 | 89.2平米 | 东 北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价31391元/平米,280万
地铁2号线,钱江世纪城站,3室2厅 | 144.51平米 | 南 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价35984元/平米,520万
地铁2号线,钱江世纪城站,4室1厅 | 145.83平米 | 南 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价30035元/平米,438万
地铁2号线,钱江世纪城站,4室4厅 | 144.44平米 | 北 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价34894元/平米,504万
地铁2号线,钱江世纪城站,4室1厅 | 80.45平米 | 北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价29708元/平米,239万
地铁2号线,钱江世纪城站,4室4厅 | 148.7平米 | 北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价30263元/平米,450万
地铁2号线,钱江世纪城站,3室1厅 | 89.19平米 | 东北 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价33637元/平米,300万
地铁2号线,钱江世纪城站,3室2厅 | 97.65平米 | 北 | 简装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价32259元/平米,315万
地铁2号线,钱江世纪城站,4室1厅 | 89.2平米 | 南 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价31951元/平米,285万
地铁2号线,钱江世纪城站,3室2厅 | 159.41平米 | 南 | 精装 | 36层  | 板塔结合,丽晶国际    -  钱江世纪城 ,单价34503元/平米,550万
地铁6号线(杭富线),星民站,3室2厅 | 143.04平米 | 南 | 精装 | 26层  | 塔楼,钱塘春晓    -  滨江区政府 ,单价46141元/平米,660万
地铁6号线(杭富线),星民站,3室2厅 | 77.33平米 | 东 北 东北 | 精装 | 高楼层(共27层)  | 塔楼,星耀星澜之城    -  滨江区政府 ,单价38795元/平米,300万
地铁6号线(杭富线),星民站,2室1厅 | 44.88平米 | 南 | 精装 | 高楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价50134元/平米,225万
地铁6号线(杭富线),星民站,3室2厅 | 121.71平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,滨江金茂府    -  滨江区政府 ,单价114864元/平米,1398万
地铁6号线(杭富线),星民站,1室1厅 | 53.38平米 | 东南 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价29974元/平米,160万
地铁6号线(杭富线),星民站,3室2厅 | 56.1平米 | 南 | 精装 | 24层  | 板塔结合,绿城明月江南    -  滨江区政府 ,单价71658元/平米,402万
地铁6号线(杭富线),星民站,3室2厅 | 165.27平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,滨江金茂府    -  滨江区政府 ,单价119804元/平米,1980万
地铁6号线(杭富线),星民站,4室2厅 | 200.08平米 | 南 | 精装 | 31层  | 板塔结合,绿城明月江南    -  滨江区政府 ,单价87216元/平米,1745万
地铁6号线(杭富线),星民站,3室2厅 | 143.64平米 | 南 | 精装 | 26层  | 塔楼,钱塘春晓    -  滨江区政府 ,单价61265元/平米,880万
地铁6号线(杭富线),星民站,3室2厅 | 64.92平米 | 南 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价40050元/平米,260万
地铁6号线(杭富线),星民站,3室1厅 | 75.18平米 | 南 | 精装 | 24层  | 板塔结合,绿城明月江南    -  滨江区政府 ,单价71562元/平米,538万
地铁6号线(杭富线),星民站,1室1厅 | 43.97平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价37526元/平米,165万
地铁6号线(杭富线),星民站,2室2厅 | 53.41平米 | 西 北 | 精装 | 低楼层(共27层)  | 塔楼,星耀星澜之城    -  滨江区政府 ,单价48681元/平米,260万
地铁6号线(杭富线),星民站,2室2厅 | 64.92平米 | 南 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价40050元/平米,260万
地铁6号线(杭富线),星民站,2室1厅 | 52.22平米 | 北 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价33513元/平米,175万
地铁6号线(杭富线),星民站,3室2厅 | 159.77平米 | 南 | 精装 | 26层  | 塔楼,钱塘春晓    -  滨江区政府 ,单价60087元/平米,960万
地铁6号线(杭富线),星民站,3室2厅 | 126.56平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,缤纷北苑    -  滨江区政府 ,单价39507元/平米,500万
地铁6号线(杭富线),星民站,3室1厅 | 63.88平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价35379元/平米,226万
地铁6号线(杭富线),星民站,2室1厅 | 41.79平米 | 东南 | 精装 | 低楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价46662元/平米,195万
地铁6号线(杭富线),星民站,1室1厅 | 43.97平米 | 东 | 精装 | 低楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价35707元/平米,157万
地铁6号线(杭富线),星民站,1室2厅 | 42.22平米 | 东南 | 精装 | 高楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价37897元/平米,160万
地铁6号线(杭富线),星民站,1室1厅 | 43.97平米 | 东 | 精装 | 中楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价33660元/平米,148万
地铁6号线(杭富线),星民站,2室1厅 | 27.74平米 | 东 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价43259元/平米,120万
地铁6号线(杭富线),星民站,2室1厅 | 56.9平米 | 北 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价49210元/平米,280万
地铁6号线(杭富线),星民站,2室2厅 | 56.9平米 | 东 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价45695元/平米,260万
地铁6号线(杭富线),星民站,2室2厅 | 61.33平米 | 南 | 精装 | 高楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价44025元/平米,270万
地铁6号线(杭富线),星民站,3室1厅 | 65.01平米 | 西南 | 精装 | 低楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价35226元/平米,229万
地铁6号线(杭富线),星民站,4室1厅 | 75.19平米 | 东 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价39234元/平米,295万
地铁6号线(杭富线),星民站,3室2厅 | 64.92平米 | 南 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价40050元/平米,260万
地铁6号线(杭富线),星民站,3室1厅 | 64.92平米 | 南 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价40820元/平米,265万
地铁6号线(杭富线),星民站,3室2厅 | 79.78平米 | 南 北 | 精装 | 高楼层(共15层)  | 板塔结合,钱塘春晓大厦    -  滨江区政府 ,单价36977元/平米,295万
地铁6号线(杭富线),星民站,3室2厅 | 47.62平米 | 北 | 精装 | 高楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价50399元/平米,240万
地铁6号线(杭富线),星民站,3室1厅 | 63.88平米 | 东南 | 精装 | 高楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价45085元/平米,288万
地铁6号线(杭富线),星民站,3室1厅 | 47.62平米 | 北 | 精装 | 高楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价56699元/平米,270万
地铁6号线(杭富线),星民站,2室1厅 | 51.37平米 | 西 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价42827元/平米,220万
地铁6号线(杭富线),星民站,3室1厅 | 61.33平米 | 东南 | 精装 | 中楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价39948元/平米,245万
地铁6号线(杭富线),星民站,1室1厅 | 63.88平米 | 东南 | 精装 | 中楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价38354元/平米,245万
地铁6号线(杭富线),星民站,2室1厅 | 87.98平米 | 东南 | 精装 | 30层  | 板塔结合,绿城明月江南    -  滨江区政府 ,单价90930元/平米,800万
地铁6号线(杭富线),星民站,2室2厅 | 87.44平米 | 南 | 精装 | 28层  | 板楼,寰宇天下    -  滨江区政府 ,单价80055元/平米,700万
地铁6号线(杭富线),星民站,2室1厅 | 44.95平米 | 南 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价31146元/平米,140万
地铁6号线(杭富线),星民站,2室1厅 | 42.94平米 | 北 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价36097元/平米,155万
地铁6号线(杭富线),星民站,3室2厅 | 64.98平米 | 南 | 精装 | 高楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价41552元/平米,270万
地铁6号线(杭富线),星民站,3室2厅 | 64.92平米 | 南 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价46211元/平米,300万
地铁6号线(杭富线),星民站,2室1厅 | 82.84平米 | 南 | 精装 | 24层  | 板塔结合,绿城明月江南    -  滨江区政府 ,单价73274元/平米,607万
地铁6号线(杭富线),星民站,2室2厅 | 63.88平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价38354元/平米,245万
地铁6号线(杭富线),星民站,2室1厅 | 60.89平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价37117元/平米,226万
地铁6号线(杭富线),星民站,3室2厅 | 152.65平米 | 东南 | 精装 | 26层  | 塔楼,钱塘春晓    -  滨江区政府 ,单价54701元/平米,835万
地铁6号线(杭富线),星民站,3室2厅 | 152.57平米 | 南 | 精装 | 26层  | 塔楼,钱塘春晓    -  滨江区政府 ,单价55713元/平米,850万
地铁6号线(杭富线),星民站,2室2厅 | 124.08平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,缤纷北苑    -  滨江区政府 ,单价44327元/平米,550万
地铁6号线(杭富线),星民站,3室2厅 | 121.96平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,滨江金茂府    -  滨江区政府 ,单价129551元/平米,1580万
地铁6号线(杭富线),星民站,2室1厅 | 81.38平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,缤纷北苑    -  滨江区政府 ,单价58983元/平米,480万
地铁6号线(杭富线),星民站,3室1厅 | 64.99平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价35391元/平米,230万
地铁6号线(杭富线),星民站,3室1厅 | 65.01平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价38302元/平米,249万
地铁6号线(杭富线),星民站,2室2厅 | 56.73平米 | 东 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价46713元/平米,265万
地铁6号线(杭富线),星民站,3室2厅 | 143.04平米 | 南 | 精装 | 26层  | 塔楼,钱塘春晓    -  滨江区政府 ,单价46002元/平米,658万
地铁6号线(杭富线),星民站,2室1厅 | 64.92平米 | 南 北 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价33888元/平米,220万
地铁6号线(杭富线),星民站,4室2厅 | 139.57平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,滨江金茂府    -  滨江区政府 ,单价128968元/平米,1800万
地铁6号线(杭富线),星民站,3室2厅 | 153.79平米 | 南 | 精装 | 18层  | 塔楼,钱塘春晓    -  滨江区政府 ,单价57221元/平米,880万
地铁6号线(杭富线),星民站,2室1厅 | 52平米 | 北 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价40385元/平米,210万
地铁6号线(杭富线),星民站,2室2厅 | 47.62平米 | 北 | 精装 | 中楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价51449元/平米,245万
地铁6号线(杭富线),星民站,3室2厅 | 81.38平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,缤纷北苑    -  滨江区政府 ,单价49153元/平米,400万
地铁6号线(杭富线),星民站,3室2厅 | 81.58平米 | 东 南 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价40452元/平米,330万
地铁6号线(杭富线),星民站,1室1厅 | 62.51平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,钱塘春晓大厦    -  滨江区政府 ,单价35195元/平米,220万
地铁6号线(杭富线),星民站,2室2厅 | 42.94平米 | 南 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价39125元/平米,168万
地铁6号线(杭富线),星民站,2室2厅 | 45.94平米 | 西南 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价33740元/平米,155万
地铁6号线(杭富线),星民站,1室1厅 | 41平米 | 东南 | 精装 | 低楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价42927元/平米,176万
地铁6号线(杭富线),星民站,2室1厅 | 45.63平米 | 南 | 精装 | 低楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价48214元/平米,220万
地铁6号线(杭富线),星民站,2室1厅 | 42.08平米 | 西 | 精装 | 中楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价45153元/平米,190万
地铁6号线(杭富线),星民站,2室1厅 | 48.55平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,星耀星澜之城    -  滨江区政府 ,单价51082元/平米,248万
地铁6号线(杭富线),星民站,1室1厅 | 42.94平米 | 北 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价33769元/平米,145万
地铁6号线(杭富线),星民站,1室1厅 | 36.51平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,星耀星澜之城    -  滨江区政府 ,单价48754元/平米,178万
地铁6号线(杭富线),星民站,2室2厅 | 42.94平米 | 南 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价41454元/平米,178万
地铁6号线(杭富线),星民站,2室2厅 | 44.88平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价45678元/平米,205万
地铁6号线(杭富线),星民站,2室1厅 | 42平米 | 南 | 简装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价33334元/平米,140万
地铁6号线(杭富线),星民站,2室1厅 | 44.95平米 | 南 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价44494元/平米,200万
地铁6号线(杭富线),星民站,2室1厅 | 37.29平米 | 南 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价38885元/平米,145万
地铁6号线(杭富线),星民站,2室1厅 | 44.95平米 | 南 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价35596元/平米,160万
地铁6号线(杭富线),星民站,2室1厅 | 42.94平米 | 南 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价41919元/平米,180万
地铁6号线(杭富线),星民站,2室2厅 | 42.94平米 | 南 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价39125元/平米,168万
地铁6号线(杭富线),星民站,1室1厅 | 42.22平米 | 东 | 精装 | 中楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价40266元/平米,170万
地铁6号线(杭富线),星民站,2室1厅 | 41.79平米 | 西 | 精装 | 中楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价46662元/平米,195万
地铁6号线(杭富线),星民站,1室2厅 | 43.97平米 | 东南 东 | 精装 | 高楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价44349元/平米,195万
地铁6号线(杭富线),星民站,2室1厅 | 48.31平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,星耀星澜之城    -  滨江区政府 ,单价50301元/平米,243万
地铁6号线(杭富线),星民站,1室1厅 | 42.22平米 | 东 | 精装 | 中楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价41924元/平米,177万
地铁6号线(杭富线),星民站,2室1厅 | 41.5平米 | 西 | 精装 | 中楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价50603元/平米,210万
地铁6号线(杭富线),星民站,2室2厅 | 45.32平米 | 东 | 精装 | 高楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价54722元/平米,248万
地铁6号线(杭富线),星民站,2室1厅 | 44.88平米 | 东南 | 精装 | 中楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价51248元/平米,230万
地铁6号线(杭富线),星民站,1室1厅 | 42.22平米 | 东 | 精装 | 低楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价35529元/平米,150万
地铁6号线(杭富线),星民站,2室1厅 | 60.89平米 | 西 | 精装 | 高楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价42700元/平米,260万
地铁6号线(杭富线),星民站,2室1厅 | 37.29平米 | 西 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价34862元/平米,130万
地铁6号线(杭富线),星民站,3室2厅 | 121.71平米 | 西南 南 | 精装 | 中楼层(共17层)  | 板楼,滨江金茂府    -  滨江区政府 ,单价114617元/平米,1395万
地铁6号线(杭富线),星民站,1室1厅 | 57.18平米 | 北 | 精装 | 中楼层(共15层)  | 板塔结合,钱塘春晓大厦    -  滨江区政府 ,单价27982元/平米,160万
地铁6号线(杭富线),星民站,3室2厅 | 165.27平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,滨江金茂府    -  滨江区政府 ,单价108913元/平米,1800万
地铁6号线(杭富线),星民站,1室1厅 | 36.56平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,星耀星澜之城    -  滨江区政府 ,单价45132元/平米,165万
地铁6号线(杭富线),星民站,1室1厅 | 48.68平米 | 西南 | 精装 | 低楼层(共10层)  | 板塔结合,星耀星澜之城    -  滨江区政府 ,单价43139元/平米,210万
地铁6号线(杭富线),星民站,2室1厅 | 47.86平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,星耀星澜之城    -  滨江区政府 ,单价50147元/平米,240万
地铁6号线(杭富线),星民站,1室2厅 | 43.74平米 | 东 | 精装 | 中楼层(共27层)  | 塔楼,星耀星澜之城    -  滨江区政府 ,单价64015元/平米,280万
地铁6号线(杭富线),星民站,2室1厅 | 42.08平米 | 西 | 精装 | 中楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价54658元/平米,230万
地铁6号线(杭富线),星民站,1室1厅 | 42.22平米 | 东 | 精装 | 高楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价39555元/平米,167万
地铁6号线(杭富线),星民站,2室1厅 | 42.94平米 | 北 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价47974元/平米,206万
地铁6号线(杭富线),星民站,2室1厅 | 60.89平米 | 南 | 精装 | 高楼层(共20层)  | 板塔结合,星耀城    -  滨江区政府 ,单价40730元/平米,248万
地铁6号线(杭富线),星民站,1室1厅 | 36.31平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,星耀星澜之城    -  滨江区政府 ,单价46820元/平米,170万
地铁6号线(杭富线),星民站,2室2厅 | 41.61平米 | 西南 | 精装 | 高楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价49268元/平米,205万
地铁6号线(杭富线),星民站,2室1厅 | 42.94平米 | 北 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价41919元/平米,180万
地铁6号线(杭富线),星民站,2室2厅 | 64.92平米 | 东南 | 精装 | 18层  | 板塔结合,海威钱塘之星    -  滨江区政府 ,单价43131元/平米,280万
地铁6号线(杭富线),星民站,1室1厅 | 43.74平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,星耀星澜之城    -  滨江区政府 ,单价48011元/平米,210万
地铁6号线(杭富线),星民站,2室1厅 | 45.94平米 | 西 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价35917元/平米,165万
地铁6号线(杭富线),星民站,2室1厅 | 44.95平米 | 南 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价35151元/平米,158万
地铁6号线(杭富线),星民站,2室1厅 | 45.94平米 | 西南 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价33740元/平米,155万
地铁6号线(杭富线),星民站,2室1厅 | 41.79平米 | 西 | 精装 | 中楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价49055元/平米,205万
地铁6号线(杭富线),星民站,2室1厅 | 46.94平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价46869元/平米,220万
地铁6号线(杭富线),星民站,2室1厅 | 44.95平米 | 南 | 精装 | 19层  | 板楼,世茂智慧之门    -  滨江区政府 ,单价42270元/平米,190万
地铁6号线(杭富线),星民站,1室1厅 | 57.18平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,钱塘春晓大厦    -  滨江区政府 ,单价30606元/平米,175万
地铁6号线(杭富线),星民站,2室1厅 | 44.88平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,海威新界    -  滨江区政府 ,单价45678元/平米,205万
