web-scraper-order,web-scraper-start-url,title,house,totalPrice,unitPrice,area,houseInfo
"1624764911-9288","https://hz.lianjia.com/ershoufang/yuhang/pg37","诚心出售，绿城桃源小镇排屋，大露台，看房方便，","绿城桃源小镇","1150万","单价28394元/平米","闲林","4室2厅 | 405.02平米 | 南 | 毛坯 | 4层  | 板楼"
"1624764753-7841","https://hz.lianjia.com/ershoufang/yuhang/pg85","恒腾澜山公馆  近地铁 大三房 配套齐全","恒腾悦湖花苑","339万","单价38176元/平米","未来科技城","3室2厅 | 88.8平米 | 南 | 简装 | 21层  | 板楼"
"1624764750-7817","https://hz.lianjia.com/ershoufang/yuhang/pg86","高档小区 物业管理很好 人车分流 安全保障 全落地窗","卓越蔚蓝领秀二期","228万","单价25421元/平米","星桥","3室2厅 | 89.69平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼"
"1624764746-7789","https://hz.lianjia.com/ershoufang/yuhang/pg87","融信澜天 地铁2号线杜甫村 诚心出售","融信澜天","350万","单价41722元/平米","良渚","3室1厅 | 83.89平米 | 南 | 精装 | 32层  | 板楼"
"1624764778-8061","https://hz.lianjia.com/ershoufang/yuhang/pg78","良渚文化村优质住区，次新房，房东诚心，随时可签","万科劝学里","300万","单价33629元/平米","良渚","3室2厅 | 89.21平米 | 南 北 | 精装 | 11层  | 板楼"
"1624764821-8445","https://hz.lianjia.com/ershoufang/yuhang/pg65","未来科技城 东边套大四房，自住精装，采光视野很好！","中港罗兰小镇","418万","单价36745元/平米","闲林","4室2厅 | 113.76平米 | 南 | 精装 | 18层  | 板楼"
"1624764956-9662","https://hz.lianjia.com/ershoufang/yuhang/pg24","此房自住装修，看房方便，业主诚心出售","绿城桃源小镇","274万","单价32002元/平米","闲林","2室1厅 | 85.62平米 | 南 北 | 精装 | 18层  | 板塔结合"
"1624764966-9760","https://hz.lianjia.com/ershoufang/yuhang/pg21","瑞城联排 好位置 户型方正 地势高 房子满五年 诚售","瑞城温莎郡","885万","单价38397元/平米","未来科技城","5室2厅 | 230.49平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅"
"1624764784-8101","https://hz.lianjia.com/ershoufang/yuhang/pg76","房子精装修，房东诚心卖..........","良景学府","295万","单价32987元/平米","瓶窑","3室2厅 | 89.43平米 | 南 | 精装 | 17层  | 板塔结合"
"1624764739-7710","https://hz.lianjia.com/ershoufang/yuhang/pg89","诚心出售 毛坯  中间楼层  采光好  配套齐全","雅居乐国际花园","249万","单价30696元/平米","闲林","2室1厅 | 81.12平米 | 东 东南 | 毛坯 | 低楼层(共34层)  | 板楼"
"1624764898-9168","https://hz.lianjia.com/ershoufang/yuhang/pg41","采光好.户型正，楼层好.中间楼层，边套户型","竹海水韵","500万","单价41691元/平米","闲林","3室2厅 | 119.93平米 | 南 | 简装 | 18层  | 板楼"
"1624764972-9806","https://hz.lianjia.com/ershoufang/yuhang/pg19","次新小区户型方正，采光通风优，拎包入住","佳源未来府","129.5万","单价31048元/平米","未来科技城","1室1厅 | 41.71平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼"
"1624764771-7992","https://hz.lianjia.com/ershoufang/yuhang/pg80","次新小区 客厅带阳台 中上楼层 诚心出售","众安学君里","305万","单价34094元/平米","未来科技城","3室2厅 | 89.46平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼"
"1624764827-8498","https://hz.lianjia.com/ershoufang/yuhang/pg63","万科品质精装三房， 电梯房，楼层位置好","良渚文化村七贤郡","265万","单价30488元/平米","良渚","3室2厅 | 86.92平米 | 南 北 | 精装 | 9层  | 板塔结合"
"1624764774-8022","https://hz.lianjia.com/ershoufang/yuhang/pg79","白洋站~次新小区~中间楼层~视野开阔","奥克斯缔逸城","340万","单价40204元/平米","良渚","3室2厅 | 84.57平米 | 南 | 精装 | 31层  | 板塔结合"
"1624764757-7879","https://hz.lianjia.com/ershoufang/yuhang/pg84","缦云坊经典三房户型，布局合理，光线明亮","万科缦云坊","298万","单价33297元/平米","良渚","3室2厅 | 89.5平米 | 南 | 精装 | 10层  | 平房"
"1624764778-8052","https://hz.lianjia.com/ershoufang/yuhang/pg78","地铁口，次新小区 中上楼层 采光视野好 诚心出售","奥克斯缔逸城","330万","单价39272元/平米","良渚","3室2厅 | 84.03平米 | 南 | 简装 | 31层  | 板塔结合"
"1624764716-7528","https://hz.lianjia.com/ershoufang/yuhang/pg95","盛世嘉园 70年产权 开发商装修高楼层 视野好 采光充足","盛世嘉园","188万","单价25064元/平米","闲林","1室1厅 | 75.01平米 | 北 | 简装 | 高楼层(共18层)  | 板楼"
"1624764936-9481","https://hz.lianjia.com/ershoufang/yuhang/pg30","绿城物业 品质好房  四房 小区环境好","绿城桃源小镇","420万","单价36497元/平米","闲林","4室2厅 | 115.08平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合"
"1624764901-9172","https://hz.lianjia.com/ershoufang/yuhang/pg40","未来科技城板块，花园洋房，带电梯，房东诚心出售","香洲里","420万","单价47287元/平米","西溪","3室2厅 | 88.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼"
"1624764723-7589","https://hz.lianjia.com/ershoufang/yuhang/pg93","诚心出售  客厅带阳台 精装修","富力西溪悦居溪区","540万","单价60942元/平米","未来科技城","3室2厅 | 88.61平米 | 东南 | 精装 | 中楼层(共14层)  | 板楼"
"1624764873-8911","https://hz.lianjia.com/ershoufang/yuhang/pg49","满五，简装，高楼层，带露台，安静不吵，","竹海水韵","269万","单价34701元/平米","闲林","2室1厅 | 77.52平米 | 南 | 简装 | 高楼层(共16层)  | 板楼"
"1624765006-10130","https://hz.lianjia.com/ershoufang/yuhang/pg9","房东自住的，满五唯一，东边套，房东诚心卖的","五彩商城","148万","单价19433元/平米","瓶窑","3室1厅 | 76.16平米 | 南 | 简装 | 中楼层(共5层)  | 板楼"
"1624765031-10350","https://hz.lianjia.com/ershoufang/yuhang/pg1","房东诚心置换，自住精装修，朝南大阳台","融创金成西溪海","390万","单价44608元/平米","闲林","3室1厅 | 87.43平米 | 南 | 精装 | 18层  | 板塔结合"
"1624764953-9651","https://hz.lianjia.com/ershoufang/yuhang/pg25","装修清爽，拎 包 入 住。 满 两 年","竹海水韵春风里","319万","单价36230元/平米","闲林","3室2厅 | 88.05平米 | 南 北 | 简装 | 18层  | 板塔结合"
"1624764889-9070","https://hz.lianjia.com/ershoufang/yuhang/pg44","上叠排，毛坯。房东诚心出售，看房方便。","绿城桃源小镇","540万","单价42739元/平米","闲林","4室2厅 | 126.35平米 | 南 | 毛坯 | 5层  | 板塔结合"
"1624764917-9322","https://hz.lianjia.com/ershoufang/yuhang/pg35","此房三房两卫，楼层好，视野开阔，采光充足","雅居乐国际花园","290万","单价32625元/平米","闲林","3室2厅 | 88.89平米 | 南 | 精装 | 32层  | 板楼"
"1624764949-9593","https://hz.lianjia.com/ershoufang/yuhang/pg26","精装好房，3房，绿城物业，中高楼层","新时代城市家园","300万","单价34192元/平米","闲林","3室2厅 | 87.74平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼"
"1624764731-7669","https://hz.lianjia.com/ershoufang/yuhang/pg91","岸上蓝山改善型四房，楼层好 采光佳 业主诚心出售！","岸上蓝山","400万","单价27959元/平米","闲林","4室2厅 | 143.07平米 | 西 | 简装 | 中楼层(共5层)  | 板楼"
"1624764787-8127","https://hz.lianjia.com/ershoufang/yuhang/pg75","此房楼层好，位置好，户型方正，三开间朝南","昆仑华府","350万","单价39054元/平米","良渚","3室2厅 | 89.62平米 | 南 | 简装 | 18层  | 板塔结合"
"1624764704-7447","https://hz.lianjia.com/ershoufang/yuhang/pg98","广和美地兰庭 精装 户型正气 采光佳 可领包入住","广和美地兰庭","200万","单价22584元/平米","仁和","3室2厅 | 88.56平米 | 东南 | 精装 | 6层  | 板楼"
"1624765018-10241","https://hz.lianjia.com/ershoufang/yuhang/pg5","中间楼层，采光视野很好，万科精装修，诚心出售","良渚文化村七贤郡","295万","单价34128元/平米","良渚","3室2厅 | 86.44平米 | 东南 南 | 简装 | 6层  | 板塔结合"
"1624764774-8026","https://hz.lianjia.com/ershoufang/yuhang/pg79","未来科技城板块，精装修刚需三房，地铁沿线，生活便利","富力新线公园","520万","单价57978元/平米","未来科技城","3室2厅 | 89.69平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼"
"1624764882-9017","https://hz.lianjia.com/ershoufang/yuhang/pg46","山水居紫薇苑 满五年 电梯房大三房 中高楼层","闲林山水紫薇苑","320万","单价30022元/平米","闲林","3室2厅 | 106.59平米 | 南 | 简装 | 中楼层(共18层)  | 板楼"
"1624764837-8586","https://hz.lianjia.com/ershoufang/yuhang/pg60","盛世嘉园 2室2厅 南","盛世嘉园","290万","单价32713元/平米","闲林","2室2厅 | 88.65平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合"
"1624764972-9816","https://hz.lianjia.com/ershoufang/yuhang/pg19","大四房，满五，精装修，房东诚心出售","亲亲家园一期","435万","单价33586元/平米","三墩","4室2厅 | 129.52平米 | 南 | 精装 | 6层  | 板楼"
"1624764787-8150","https://hz.lianjia.com/ershoufang/yuhang/pg75","次新小区中间楼层采光无遮挡 三房二卫主卧客厅带阳台","卓越蔚蓝领秀二期","270万","单价30091元/平米","星桥","3室2厅 | 89.73平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼"
"1624764857-8775","https://hz.lianjia.com/ershoufang/yuhang/pg54","满五年，楼层位置好，看房方便，自住装修可拎包入住","怡景花城鸣翠苑","385万","单价28627元/平米","闲林","3室2厅 | 134.49平米 | 南 | 精装 | 6层  | 板塔结合"
"1624764972-9807","https://hz.lianjia.com/ershoufang/yuhang/pg19","地铁口400米，总价低，配套全，交通方便，房龄新","西塘花苑","170万","单价28320元/平米","三墩","2室1厅 | 60.03平米 | 南 | 简装 | 24层  | 板楼"
"1624764696-7372","https://hz.lianjia.com/ershoufang/yuhang/pg100","精装修，看房随时预约，大面积好户型","新明半岛","480万","单价26734元/平米","闲林","4室2厅 | 179.55平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合"
"1624764946-9572","https://hz.lianjia.com/ershoufang/yuhang/pg27","春风里刚需好房，中上楼层视野佳，安静，诚心卖","竹海水韵","310万","单价35332元/平米","闲林","3室1厅 | 87.74平米 | 南 北 | 简装 | 18层  | 板塔结合"
"1624764787-8142","https://hz.lianjia.com/ershoufang/yuhang/pg75","自住精装修 高楼层 双阳台 采光好 视野好","欧美金融城","600万","单价67341元/平米","未来科技城","3室2厅 | 89.1平米 | 南 | 精装 | 高楼层(共47层)  | 板楼"
"1624764956-9660","https://hz.lianjia.com/ershoufang/yuhang/pg24","绿城桃园小镇东方苑  可自由装修 绿城开发 高品质跃层","绿城桃源小镇","330万","单价35886元/平米","闲林","3室2厅 | 91.96平米 | 南 | 毛坯 | 32层  | 板塔结合"
"1624764824-8475","https://hz.lianjia.com/ershoufang/yuhang/pg64","满五唯一，一期林语阁，近四小，离地铁近！换房诚售","青枫墅园","530万","单价59773元/平米","未来科技城","3室2厅 | 88.67平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合"
"1624764895-9126","https://hz.lianjia.com/ershoufang/yuhang/pg42","房东诚心出售  房东可以承担部分增值税 看房方便","绿城桃源小镇","460万","单价27021元/平米","闲林","4室2厅 | 170.24平米 | 南 | 毛坯 | 17层  | 板塔结合"
"1624764790-8161","https://hz.lianjia.com/ershoufang/yuhang/pg74","楼层较高，采光好，看房方便，出行方便地铁近","欧美金融城","590万","单价66947元/平米","未来科技城","3室2厅 | 88.13平米 | 南 | 简装 | 高楼层(共33层)  | 板楼"
"1624764696-7389","https://hz.lianjia.com/ershoufang/yuhang/pg100","雅居乐四房 东边套户型，楼幢位置好，带车位，有钥匙","雅居乐国际花园","360万","单价28347元/平米","闲林","4室2厅 | 127平米 | 南 东 | 毛坯 | 低楼层(共33层)  | 板塔结合"
"1624764969-9789","https://hz.lianjia.com/ershoufang/yuhang/pg20","五常地鉄口精装公寓，民用电绿城物业正对小区花园景观","西溪八方城","128万","单价23474元/平米","未来科技城","2室2厅 | 54.53平米 | 北 | 精装 | 低楼层(共12层)  | 板楼"
"1624764814-8369","https://hz.lianjia.com/ershoufang/yuhang/pg67","满五  满五  满五  房东诚心出","岸上蓝山","400万","单价28641元/平米","闲林","4室2厅 | 139.66平米 | 南 | 精装 | 低楼层(共6层)  | 板楼"
"1624764735-7687","https://hz.lianjia.com/ershoufang/yuhang/pg90","满五年，房东诚心出售，江南时代旁","欣龙华府公寓","310万","单价34789元/平米","未来科技城","3室1厅 | 89.11平米 | 南 | 简装 | 6层  | 板楼"
"1624764966-9749","https://hz.lianjia.com/ershoufang/yuhang/pg21","带花园，格局方正，采光充足 ，业主诚心出售。","亲亲家园一期","380万","单价32234元/平米","三墩","3室2厅 | 117.89平米 | 南 | 精装 | 6层  | 板楼"
"1624764817-8410","https://hz.lianjia.com/ershoufang/yuhang/pg66","万科物业 自住精装 近地铁 刚需看过来","万科北宸之光二期","365万","单价40755元/平米","万达广场","3室1厅 | 89.56平米 | 南 | 精装 | 28层  | 板楼"
"1624764753-7839","https://hz.lianjia.com/ershoufang/yuhang/pg85","小区人车分流 89方精装修 中高楼层 不沿余杭塘路","华夏四季","660万","单价74149元/平米","未来科技城","3室2厅 | 89.01平米 | 南 | 精装 | 21层  | 板楼"
"1624764907-9234","https://hz.lianjia.com/ershoufang/yuhang/pg38","科技城仓前街道，配套齐全，三房户型。","青枫墅园三期","420万","单价46865元/平米","未来科技城","3室1厅 | 89.62平米 | 南 | 精装 | 低楼层(共30层)  | 板楼"
"1624764929-9420","https://hz.lianjia.com/ershoufang/yuhang/pg32","未来科技城精装修三房 一楼带花园 满五唯一","竹海水韵","335万","单价37372元/平米","闲林","3室2厅 | 89.64平米 | 南 | 精装 | 低楼层(共16层)  | 板楼"
"1624764917-9345","https://hz.lianjia.com/ershoufang/yuhang/pg35","此房不靠高架比较安静好楼层户型方正","闲林山水紫薇苑","300万","单价34216元/平米","闲林","3室1厅 | 87.68平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼"
"1624764879-8984","https://hz.lianjia.com/ershoufang/yuhang/pg47","房子满五唯一，电梯大三房，房东诚心出售！！","闲林山水紫薇苑","350万","单价25903元/平米","闲林","3室2厅 | 135.12平米 | 南 | 精装 | 11层  | 板楼"
"1624764892-9105","https://hz.lianjia.com/ershoufang/yuhang/pg43","绿城物业管理 业主自住精装修 户型方正 诚心出售","恒厚阳光城","350万","单价31755元/平米","闲林","3室2厅 | 110.22平米 | 南 | 精装 | 低楼层(共11层)  | 塔楼"
"1624764827-8488","https://hz.lianjia.com/ershoufang/yuhang/pg63","一楼带大院子带地下室，东边套，自住精装修，诚心出售","良渚文化村七贤郡","320万","单价37046元/平米","良渚","3室2厅 | 86.38平米 | 南 | 精装 | 10层  | 板塔结合"
"1624764784-8100","https://hz.lianjia.com/ershoufang/yuhang/pg76","此房格局好，户型方正，旁边设施齐全，","富力新线公园","550万","单价61323元/平米","未来科技城","3室2厅 | 89.69平米 | 南 | 精装 | 低楼层(共11层)  | 板楼"
"1624764719-7565","https://hz.lianjia.com/ershoufang/yuhang/pg94","白鹭郡北，跃层带阁楼，有露台，视野开阔，采光好。","良渚文化村白鹭郡北","400万","单价28588元/平米","良渚","3室2厅 | 139.92平米 | 南 | 简装 | 5层  | 板塔结合"
"1624764771-7991","https://hz.lianjia.com/ershoufang/yuhang/pg80","五号线良睦路站华夏之心开发商精装带地暖边套小三房","华夏之心","600万","单价67644元/平米","未来科技城","3室2厅 | 88.7平米 | 南 | 精装 | 中楼层(共25层)  | 板楼"
"1624764746-7788","https://hz.lianjia.com/ershoufang/yuhang/pg87","融信澜天4号楼 不靠马路视野开阔，消防云梯可达中楼层","融信澜天","360万","单价40355元/平米","良渚","3室2厅 | 89.21平米 | 南 | 精装 | 34层  | 板楼"
"1624764735-7673","https://hz.lianjia.com/ershoufang/yuhang/pg90","老余杭镇中位置 中间楼层 低楼层带露台 诚心出售","山西园","190万","单价26795元/平米","未来科技城","3室2厅 | 70.91平米 | 南 北 | 简装 | 6层  | 板楼"
"1624765012-10190","https://hz.lianjia.com/ershoufang/yuhang/pg7","万科缦云坊，新交付精装三房，中间楼层，诚心出售","万科缦云坊","267万","单价32721元/平米","良渚","3室2厅 | 81.6平米 | 南 | 精装 | 9层  | 板楼"
"1624764993-10011","https://hz.lianjia.com/ershoufang/yuhang/pg13","华元蒙卡岸，小区中间位置 近地铁 交通便利，配套齐全","华元蒙卡岸","355万","单价40182元/平米","翡翠城","2室2厅 | 88.35平米 | 南 | 简装 | 13层  | 板楼"
"1624764940-9513","https://hz.lianjia.com/ershoufang/yuhang/pg29","雅居乐不满两年不靠高架采光好，","雅居乐国际花园","300万","单价33750元/平米","闲林","3室1厅 | 88.89平米 | 南 | 毛坯 | 33层  | 板楼"
"1624764914-9297","https://hz.lianjia.com/ershoufang/yuhang/pg36","位置好，小河边，环境优美....","竹海水韵竹邻间","400万","单价34702元/平米","闲林","3室2厅 | 115.27平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合"
"1624764873-8921","https://hz.lianjia.com/ershoufang/yuhang/pg49","业主诚心出售  大三房  视野开阔","荆山翠谷","425万","单价28347元/平米","闲林","3室2厅 | 149.93平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼"
"1624764768-7953","https://hz.lianjia.com/ershoufang/yuhang/pg81","视野宽阔 比邻城北万象城 双地铁口 好运街 一路好运","万科杭宸二期","430万","单价48185元/平米","勾庄","3室1厅 | 89.24平米 | 南 | 精装 | 11层  | 板塔结合"
"1624764997-10027","https://hz.lianjia.com/ershoufang/yuhang/pg12","人车分流，配套成熟，户型正气，适合居住","九衡公寓","270万","单价25173元/平米","良渚","3室2厅 | 107.26平米 | 南 | 简装 | 10层  | 板塔结合"
"1624764840-8620","https://hz.lianjia.com/ershoufang/yuhang/pg59","次顶楼，站阳台整个阿里园区景观尽收眼底，采光视野好","乐淘城","530万","单价60634元/平米","未来科技城","3室1厅 | 87.41平米 | 南 | 简装 | 11层  | 板楼"
"1624765000-10069","https://hz.lianjia.com/ershoufang/yuhang/pg11","满五唯一   户型方正   楼层采光好","九衡公寓","270万","单价25131元/平米","良渚","3室2厅 | 107.44平米 | 南 | 简装 | 10层  | 板塔结合"
"1624764704-7434","https://hz.lianjia.com/ershoufang/yuhang/pg98","岸上蓝山 4室1厅 南","岸上蓝山","358万","单价29021元/平米","闲林","4室1厅 | 123.36平米 | 南 | 精装 | 中楼层(共6层)  | 板楼"
"1624764904-9229","https://hz.lianjia.com/ershoufang/yuhang/pg39","房子精装，标准四房二卫，正对小区水系花园，采光好","绿城桃源小镇","390万","单价28570元/平米","闲林","4室2厅 | 136.51平米 | 南 北 | 精装 | 33层  | 板塔结合"
"1624764857-8754","https://hz.lianjia.com/ershoufang/yuhang/pg54","边套上叠墅 绿城建造，19年新房， 此价格包含一个车位","绿城桃源小镇","630万","单价43288元/平米","闲林","4室2厅 | 145.54平米 | 南 | 毛坯 | 4层  | 板楼 | 联排别墅"
"1624765028-10319","https://hz.lianjia.com/ershoufang/yuhang/pg2","湿地景观，采光好，开发商精装修房东诚心出售","融创金成未来海","439万","单价48892元/平米","闲林","3室1厅 | 89.79平米 | 南 北 | 精装 | 18层  | 板楼"
"1624764810-8352","https://hz.lianjia.com/ershoufang/yuhang/pg68","正对阿里亲橙里 西边套全明 精装修带地暖 中楼层 诚售","富力西溪悦居","580万","单价65184元/平米","未来科技城","3室2厅 | 88.98平米 | 南 | 精装 | 10层  | 板楼"
"1624764914-9306","https://hz.lianjia.com/ershoufang/yuhang/pg36","满五年，精装修，业主自住看房方便。","爵士风情花园","282万","单价31562元/平米","闲林","3室2厅 | 89.35平米 | 南 北 | 精装 | 6层  | 板楼"
"1624764933-9467","https://hz.lianjia.com/ershoufang/yuhang/pg31","绿城品质小区 电梯房高层采光好","绿城桃源小镇","400万","单价34759元/平米","闲林","4室2厅 | 115.08平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合"
"1624764882-9004","https://hz.lianjia.com/ershoufang/yuhang/pg46","绿城桃源小镇 4室2厅 南","绿城桃源小镇","850万","单价57278元/平米","闲林","4室2厅 | 148.4平米 | 南 | 毛坯 | 低楼层(共4层)  | 塔楼"
"1624764831-8522","https://hz.lianjia.com/ershoufang/yuhang/pg62","未来科技城板块 青枫墅园边套 精装修","青枫墅园三期","450万","单价50269元/平米","未来科技城","3室2厅 | 89.52平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合"
"1624764797-8222","https://hz.lianjia.com/ershoufang/yuhang/pg72","精装三房 西边套全明户型 带大露台  有车位","香洲里","435万","单价51431元/平米","西溪","3室2厅 | 84.58平米 | 南 | 精装 | 中楼层(共6层)  | 板楼"
"1624764712-7520","https://hz.lianjia.com/ershoufang/yuhang/pg96","视野和采光都好，通风性好，房东自住装修","新明半岛","195万","单价31900元/平米","闲林","1室1厅 | 61.13平米 | 南 | 精装 | 11层  | 板塔结合"
"1624764727-7626","https://hz.lianjia.com/ershoufang/yuhang/pg92","视野开阔，采光充足，配套成熟，总价低。","禹航路","240万","单价29933元/平米","未来科技城","3室2厅 | 80.18平米 | 南 | 精装 | 5层  | 板楼"
"1624764761-7891","https://hz.lianjia.com/ershoufang/yuhang/pg83","未来城三期  西边套  视野采光好 拎包入住","万科未来城三期梦溪里","380万","单价42345元/平米","良渚","3室2厅 | 89.74平米 | 东南 南 | 精装 | 21层  | 板楼"
"1624764972-9826","https://hz.lianjia.com/ershoufang/yuhang/pg19","良渚花苑新村，得房率高，配套成熟，生活便利","良渚花苑新村","170万","单价25488元/平米","良渚","2室1厅 | 66.7平米 | 南 | 精装 | 4层  | 板楼"
"1624764716-7540","https://hz.lianjia.com/ershoufang/yuhang/pg95","翡翠城自住精装，户型正气，楼层佳，诚心出售","翡翠城二期","400万","单价45564元/平米","翡翠城","2室2厅 | 87.79平米 | 南 | 精装 | 14层  | 板楼"
